,B,A
2023-12-04,"['S47', 'S44', 'S43', 'S50']","['S45', 'S46', 'S49', 'S48']"
2023-12-05,"['S47', 'S50']","['S46', 'S49', 'S52', 'S48']"
2023-12-06,"['S47', 'S50', 'S57', 'S53', 'S54']","['S46', 'S49', 'S52', 'S48', 'S55']"
2023-12-07,"['S47', 'S50', 'S57', 'S53', 'S54']","['S46', 'S49', 'S52', 'S48', 'S55']"
2023-12-08,"['S47', 'S50', 'S57', 'S53', 'S54']","['S46', 'S49', 'S52', 'S48', 'S55']"
2023-12-09,"['S47', 'S50', 'S57', 'S53', 'S54']","['S46', 'S49', 'S52', 'S48', 'S55']"
2023-12-10,"['S47', 'S50', 'S57', 'S53', 'S54']","['S46', 'S49', 'S52', 'S48', 'S55']"
2023-12-11,"['S50', 'S57', 'S59', 'S53', 'S54']","['S49', 'S52', 'S55']"
2023-12-12,"['S57', 'S63', 'S59', 'S53', 'S54']","['S52', 'S51', 'S64', 'S55']"
2023-12-13,"['S57', 'S63', 'S59', 'S62']","['S52', 'S51', 'S64', 'S55']"
2023-12-14,"['S57', 'S63', 'S59', 'S62']","['S51', 'S64', 'S56']"
2023-12-15,"['S57', 'S63', 'S59', 'S62']","['S51', 'S64', 'S56']"
2023-12-16,"['S57', 'S63', 'S59', 'S62']","['S51', 'S64', 'S56']"
2023-12-17,"['S57', 'S63', 'S59', 'S62']","['S51', 'S64', 'S56']"
2023-12-18,"['S63', 'S59', 'S62', 'S65', 'S66']","['S51', 'S64', 'S56']"
2023-12-19,"['S63', 'S59', 'S62', 'S65', 'S66', 'S68']","['S51', 'S64', 'S56']"
2023-12-20,"['S63', 'S59', 'S62', 'S65', 'S66', 'S68', 'S61']","['S64', 'S56', 'S58', 'S70', 'S60']"
2023-12-21,"['S63', 'S62', 'S67', 'S65', 'S66', 'S68', 'S61']","['S64', 'S58', 'S70', 'S60']"
2023-12-22,"['S63', 'S62', 'S67', 'S65', 'S66', 'S68']","['S64', 'S58', 'S70']"
2023-12-23,"['S63', 'S62', 'S67', 'S65', 'S66', 'S68']","['S64', 'S58', 'S70']"
2023-12-24,"['S63', 'S62', 'S67', 'S65', 'S66', 'S68']","['S64', 'S58', 'S70']"
2023-12-25,"['S63', 'S62', 'S67', 'S65', 'S66', 'S68']","['S64', 'S58', 'S70']"
2023-12-26,"['S63', 'S67', 'S65', 'S66', 'S68', 'S69']","['S64', 'S58', 'S70']"
2023-12-27,"['S67', 'S65', 'S66', 'S68', 'S69']","['S58', 'S70']"
2023-12-28,"['S67', 'S65', 'S66', 'S68', 'S69']",['S70']
2023-12-29,"['S67', 'S69', 'S71', 'S72', 'S73']",['S70']
2023-12-30,"['S67', 'S69', 'S71', 'S72', 'S73']",['S70']
2023-12-31,"['S67', 'S69', 'S71', 'S72', 'S73']",['S70']
2024-01-01,"['S67', 'S69', 'S71', 'S72', 'S73', 'S76']","['S70', 'S74']"
2024-01-02,"['S67', 'S69', 'S71', 'S72', 'S73', 'S76']","['S74', 'S75']"
2024-01-03,"['S67', 'S69', 'S71', 'S72', 'S73', 'S76']","['S74', 'S75']"
